id,name,base_px,scale,use_case,tailwind_prefix
SP01,micro,4,4/8/12/16/20/24,Dense data tables; compact badges; icon padding; chip internal spacing,p-1 p-2 p-3 p-4 p-5 p-6
SP02,compact,8,8/16/24/32/40/48/64,Sidebar navigation; settings rows; form field groups; list items; card internals,p-2 p-4 p-6 p-8 p-10 p-12 p-16
SP03,comfortable,16,16/24/32/48/64/80/96,Standard web app; SaaS product screens; content pages; form sections; modal padding,p-4 p-6 p-8 p-12 p-16 p-20 p-24
SP04,spacious,24,24/40/56/80/112/160,Marketing pages; feature sections; card grids; section separators; hero areas,p-6 p-10 p-14 p-20 p-28 p-40
SP05,editorial,32,32/48/72/96/128/192,Blog / editorial layouts; long-form reading; print-inspired designs; portfolio,p-8 p-12 p-18 p-24 p-32 p-48
SP06,touch-optimized,44,44/56/72/88,Mobile-first interactions; tap targets; bottom navigation items; FAB; button height,h-11 h-14 h-18 h-22
SP07,section-spacing,64,64/96/128/192/256,Landing page section gaps; above-fold separation; between major content blocks,py-16 py-24 py-32 py-48 py-64
SP08,fluid-responsive,clamp,"clamp(16px,4vw,48px)",Responsive layouts that scale fluidly between breakpoints; avoids hard breakpoint jumps,Not Tailwind-native; use arbitrary [clamp(...)] or postcss-fluid
SP09,wide-marketing,48,48/64/96/144/192/256,Bold marketing hero whitespace; oversized feature blocks; agency / portfolio breathing room; full-bleed section gutters,p-12 p-16 p-24 p-36 p-48 p-64
SP10,dense-dashboard,2,2/4/8/12/16/20,Analytics dashboards; high-density grids; KPI tiles; nested table cells; inline metric chips,p-0.5 p-1 p-2 p-3 p-4 p-5
SP11,form-rhythm,12,12/20/28/36/48/64,Vertical form rhythm; label-to-input gaps; stacked field spacing; checkout flows; settings panels,p-3 p-5 p-7 p-9 p-12 p-16
SP12,prose-vertical,20,20/28/40/56/80/112,Article body line-spacing blocks; documentation paragraphs; FAQ stacks; readable long-form vertical gaps,py-5 py-7 py-10 py-14 py-20 py-28
SP13,hero-immersive,96,96/128/192/256/384,Immersive full-screen hero padding; landing above-fold breathing space; luxury splash sections; cinematic gaps,py-24 py-32 py-48 py-64 py-96
SP14,golden-ratio,16,16/26/42/68/110/178,"Editorial and portfolio layouts using a ~1.618 modular scale; harmonious heading-to-section progression",Not Tailwind-native; use arbitrary [1.625rem] [2.625rem] [4.25rem]
